Issuer;Customer;Card;License plate No;Transactiondate;Product INV;Quantity;Gross CC;VAT;Voucher;Mileage;Corrected mileage;Additional info;Supply country;Site Town;Product DEL;Unitprice;Amount;Discount;Surcharge;VAT;Suppliercurrency;Invoice No;Invoice date;Invoiced?;VAT2010;State;Supplier;Cost 1;Cost 2;Reference No;Recordtype;Amount other;is listprice ?;Approval code;Date to;Final Trx.;LPI
710111;107248;369;BG 2484 - PC;2024-07-15 12:44:00;OMV EVRO DIZEL;45.69;8,863.86;1,477.31;00451298;293300;293300;                  ;SR;MARTINCI 1;OMV EVRO DIZEL;194.000;8,863.86;0.00;0.00;1,477.31;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;9,503.50;Yes;724443;2024-07-15;1;
710111;107248;369;BG 2484 - PC;2024-07-23 12:10:00;OMV EVRO DIZEL;47.98;9,116.20;1,519.37;00458400;294094;294094;                  ;SR;MARTINCI 1;OMV EVRO DIZEL;190.000;9,116.20;0.00;0.00;1,519.37;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;9,835.90;Yes;721021;2024-07-23;1;
710111;107248;369;BG 2484 - PC;2024-07-31 16:37:00;OMV EVRO DIZEL;48.00;9,024.00;1,504.00;00038614;294997;294997;                  ;SR;SABAC;OMV EVRO DIZEL;188.000;9,024.00;0.00;0.00;1,504.00;RSD;8914384142;2024-07-31;YES;NO;117;OMV-RS;;;;D;9,696.00;Yes;763745;2024-07-31;1;
710111;107248;369;BG 2484 - PC;2024-08-09 15:18:00;OMV EVRO DIZEL;47.00;8,648.00;1,441.33;00254245;295903;295903;                  ;SR;SABAC;OMV EVRO DIZEL;184.000;8,742.00;0.00;0.00;1,441.33;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;9,306.00;Yes;751825;2024-08-09;1;
710111;107248;62;BG 935 - NT;2024-08-15 11:22:00;ED MAXXMOTION;46.95;9,714.00;1,619.00;00304360;206512;206512;                  ;SR;ADA CIGANLIJA;ED MAXXMOTION;206.901;9,714.00;0.00;0.00;1,619.00;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;0.00;No;712218;2024-08-15;1;
710111;107248;39;BG 2013 - UK;2024-07-04 06:58:00;ED MAXXMOTION;54.33;11,621.20;1,936.87;00411683;66654;66654;                  ;SR;CELIJE;ED MAXXMOTION;213.900;11,621.20;0.00;0.00;1,936.87;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;0.00;No;765853;2024-07-04;1;
710111;107248;39;BG 2013 - UK;2024-07-31 09:45:00;ED MAXXMOTION;53.58;11,300.00;1,883.33;00498292;60500;60500;                  ;SR;ADA CIGANLIJA;ED MAXXMOTION;210.900;11,300.00;0.00;0.00;1,883.33;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;0.00;No;794556;2024-07-31;1;
710111;107248;39;BG 2013 - UK;2024-08-27 13:15:00;ED MAXXMOTION;52.57;11,455.00;1,909.17;00536448;71209;71209;                  ;SR;BESKA 1;ED MAXXMOTION;217.900;11,455.00;0.00;0.00;1,909.17;RSD;;;NO;NO;217;OMV-RS;;;;D;0.00;No;731552;2024-08-27;1;
710111;107248;104;BG 2018 - RN;2024-07-03 09:13:00;OMV EVRO DIZEL;47.38;9,215.41;1,535.90;00443760;70655;70655;                  ;SR;KRUSEVAC;OMV EVRO DIZEL;194.500;9,215.41;0.00;0.00;1,535.90;RSD;8914381536;2024-07-15;YES;NO;117;OMV-RS;;;;D;9,712.90;Yes;791330;2024-07-03;1;
710111;107248;104;BG 2018 - RN;2024-08-01 15:29:00;ED MAXXMOTION;40.07;8,450.80;1,408.47;00328126;73358;73358;                  ;SR;VRBAS;ED MAXXMOTION;210.901;8,450.80;0.00;0.00;1,408.47;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;0.00;No;753011;2024-08-01;1;
710111;107248;104;BG 2018 - RN;2024-08-08 15:30:00;ED MAXXMOTION;46.35;9,728.90;1,621.48;00331298;74770;74770;                  ;SR;VRBAS;ED MAXXMOTION;209.901;9,728.90;0.00;0.00;1,621.48;RSD;8914386442;2024-08-15;YES;NO;117;OMV-RS;;;;D;0.00;No;753038;2024-08-08;1;
